Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) HIT_K2,Coverage (%) HIT_K4,Coverage (%) HIT_K6,Coverage (%) HCA_K2,Coverage (%) HCA_K4,Coverage (%) HCA_K6,Area HIT_K2,Area HIT_K4,Area HIT_K6,Area HCA_K2,Area HCA_K4,Area HCA_K6,#Peptides,#Unique,#Spec HIT_K2,#Spec HIT_K4,#Spec HIT_K6,#Spec HCA_K2,#Spec HCA_K4,#Spec HCA_K6,PTM,Avg. Mass,Description
24,109,P07900|HS90A_HUMAN,500.44,66,61,66,66,60,66,61,4.2856E5,4.9537E5,4.7813E5,5.1127E5,4.8622E5,4.9727E5,54,29,307,363,384,419,545,549,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
12,51,P08238|HS90B_HUMAN,497.95,70,61,66,66,69,69,69,1.0174E6,1.0575E6,9.9101E5,1.5494E6,1.4017E6,1.3636E6,59,36,404,410,412,569,631,625,Carbamidomethylation; Oxidation (M); Deamidation (NQ),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
38,60,P13639|EF2_HUMAN,493.22,77,71,70,65,74,67,69,7.4632E5,9.2194E5,9.4774E5,9.733E5,1.0606E6,9.8837E5,64,64,363,361,360,384,383,374,Carbamidomethylation; Deamidation (NQ),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
28,390,P68104|EF1A1_HUMAN,490.73,70,67,67,67,70,70,70,2.1479E6,2.7014E6,2.445E6,2.6873E6,2.5055E6,2.5826E6,32,32,358,425,412,393,431,458,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50141,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
73,108,P46940|IQGA1_HUMAN,490.67,57,46,44,53,41,44,46,3.3795E5,4.2118E5,5.0366E5,2.4278E5,3.2848E5,3.2983E5,75,75,237,250,287,186,217,210,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),189251,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1
11,62,P11021|BIP_HUMAN,487.76,67,65,64,57,67,64,58,2.7234E6,2.5853E6,2.1781E6,3.1277E6,2.453E6,2.6057E6,49,47,581,538,490,567,497,498,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72333,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2
25,47,P02545|LMNA_HUMAN,486.37,73,71,71,70,72,70,64,2.532E6,2.1487E6,1.9339E6,2.8099E6,2.3395E6,2.272E6,64,62,458,379,388,459,429,402,Carbamidomethylation; Oxidation (M); Deamidation (NQ),74140,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
35,28,P11142|HSP7C_HUMAN,484.94,73,72,71,71,72,69,73,9.0355E5,1.0039E6,9.5435E5,1.1623E6,9.4035E5,9.9961E5,50,36,355,351,336,425,404,427,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
13,169,P14625|ENPL_HUMAN,484.48,61,61,60,59,59,60,61,9.972E5,1.3026E6,1.1612E6,1.0888E6,9.8534E5,1.0288E6,57,50,394,573,473,489,574,535,Carbamidomethylation; Oxidation (M); Deamidation (NQ),92469,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1
31,66,P14618|KPYM_HUMAN,483.64,74,73,73,73,74,74,74,1.5661E6,1.7553E6,1.8339E6,2.0031E6,1.8759E6,1.8952E6,40,40,379,381,359,408,445,434,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),57937,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4
10,26,P07355|ANXA2_HUMAN,483.56,83,81,76,78,83,81,83,6.3425E6,6.6582E6,6.7478E6,7.0794E6,6.455E6,6.5604E6,46,46,577,559,541,606,560,553,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
3,3,P63261|ACTG_HUMAN,483.00,96,90,90,95,91,95,95,2.107E5,2.5289E5,2.6811E5,5.0969E5,6.7783E5,4.8765E5,42,2,813,858,887,872,1065,1049,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
27,13,P26038|MOES_HUMAN,482.54,74,73,73,73,67,68,68,1.0041E6,8.7114E5,7.8748E5,1.3429E6,1.1304E6,1.1063E6,61,43,424,394,361,439,444,421,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67820,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3
26,12,P10809|CH60_HUMAN,480.77,83,79,79,80,81,75,80,1.3911E6,1.6294E6,1.4617E6,1.6634E6,1.6238E6,1.5954E6,48,48,390,398,363,461,455,434,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61055,60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2
87,14,P35908|K22E_HUMAN,479.62,80,74,64,70,61,80,65,3.1852E5,1.4457E5,2.007E5,2.6778E5,1.5471E6,2.2011E5,54,42,222,139,165,178,382,159,Carbamidomethylation; Oxidation (M); Deamidation (NQ),65433,Keratin  type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2
4,2,P60709|ACTB_HUMAN,479.28,96,90,90,95,91,95,95,1.8922E5,2.5006E5,2.6887E5,4.2135E5,3.4718E5,3.0766E5,41,1,804,858,877,864,1053,1044,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),41737,Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1
70,183,P13645|K1C10_HUMAN,478.54,64,61,58,58,61,64,63,8.6715E5,4.3959E5,5.9665E5,5.4489E5,2.6752E6,8.1488E5,42,35,236,194,201,204,443,234,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
45,155,P04264|K2C1_HUMAN,475.00,65,59,57,58,57,59,64,1.7208E6,8.3246E5,7.5189E5,1.2458E6,3.0817E6,1.3095E6,44,38,377,253,256,300,553,324,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
8,36,P06733|ENOA_HUMAN,474.04,78,75,75,75,78,78,75,1.906E6,2.1903E6,2.0435E6,2.6978E6,2.3992E6,2.4909E6,35,30,522,609,619,806,835,780,Carbamidomethylation; Oxidation (M); Deamidation (NQ),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
145,269,Q9UPN3|MACF1_HUMAN,473.64,19,4,8,11,9,13,14,2.4552E4,4.3157E4,6.9745E4,4.7499E4,2.5457E5,2.6685E5,102,99,61,112,177,122,197,203,Carbamidomethylation; Deamidation (NQ),838323,Microtubule-actin cross-linking factor 1  isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4
66,164,P16284|PECA1_HUMAN,470.11,51,50,49,49,51,51,51,6.8986E5,6.1306E5,6.1035E5,1.0806E6,1.0451E6,1.0258E6,37,37,264,230,218,297,283,288,Carbamidomethylation; Oxidation (M); Deamidation (NQ),82522,Platelet endothelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=PECAM1 PE=1 SV=2
59,73,P18206|VINC_HUMAN,465.49,64,52,57,55,60,54,55,5.3094E5,5.6981E5,5.5917E5,6.2879E5,5.4396E5,5.4167E5,65,65,294,278,264,269,269,279,Carbamidomethylation; Oxidation (M); Deamidation (NQ),123799,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4
64,151,Q9NZM1|MYOF_HUMAN,465.40,57,39,45,51,38,42,41,2.3694E5,3.4654E5,4.1943E5,1.9854E5,2.624E5,2.5556E5,93,92,271,319,337,209,230,239,Carbamidomethylation; Oxidation (M); Deamidation (NQ),234706,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1
79,119,P35221|CTNA1_HUMAN,464.61,64,63,59,55,64,58,59,3.2575E5,4.0716E5,3.636E5,4.4201E5,4.2286E5,4.7019E5,47,39,215,220,205,231,245,226,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),100071,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1
65,320,P07996|TSP1_HUMAN,464.45,43,40,42,42,41,41,41,6.2589E5,7.1208E5,8.2349E5,6.8527E5,7.3823E5,7.6484E5,47,47,249,274,302,264,250,242,Carbamidomethylation; Deamidation (NQ),129383,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2
138,30,P22314|UBA1_HUMAN,463.21,69,53,57,66,45,44,54,3.199E5,3.9078E5,4.3736E5,2.6608E5,2.9314E5,2.9093E5,47,47,154,164,178,132,135,139,Carbamidomethylation; Deamidation (NQ),117849,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3
76,214,P15144|AMPN_HUMAN,454.91,49,47,47,48,42,47,47,5.0757E5,5.6338E5,6.0267E5,5.7503E5,5.8155E5,5.4107E5,47,47,231,230,262,195,209,238,Carbamidomethylation; Oxidation (M); Deamidation (NQ),109539,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4
84,175,Q13201|MMRN1_HUMAN,454.33,47,45,43,46,24,23,23,7.1992E5,8.5811E5,9.3002E5,4.8302E4,6.2404E4,5.2235E4,52,52,313,327,371,80,99,76,Carbamidomethylation; Oxidation (M); Deamidation (NQ),138110,Multimerin-1 OS=Homo sapiens OX=9606 GN=MMRN1 PE=1 SV=3
157,204,Q9P2E9|RRBP1_HUMAN,452.82,39,29,28,28,36,32,33,1.0325E5,1.0062E5,1.1322E5,1.5109E5,1.306E5,1.2215E5,47,47,128,112,133,178,141,143,Carbamidomethylation; Deamidation (NQ),152456,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5
100,221,P48681|NEST_HUMAN,452.55,42,35,29,30,41,38,39,1.8399E5,2.1946E5,2.1246E5,5.9942E5,4.7347E5,4.6132E5,59,59,151,142,158,256,208,227,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),177438,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2
41,25,P06576|ATPB_HUMAN,452.48,82,81,79,81,80,74,74,1.4549E6,1.7606E6,1.565E6,2.0815E6,1.807E6,1.7649E6,32,32,348,366,341,413,373,363,Oxidation (M); Deamidation (NQ),56560,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3
49,67,P07237|PDIA1_HUMAN,452.07,72,69,69,68,66,69,66,1.7482E6,1.6796E6,1.4803E6,2.6106E6,2.2416E6,2.1175E6,41,41,353,315,285,348,343,325,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57116,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3
15,39,P07437|TBB5_HUMAN,450.05,84,82,82,73,84,75,84,5.4646E5,6.1781E5,6.4215E5,5.3404E5,6.1454E5,6.3101E5,31,6,484,502,524,497,500,494,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49671,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2
141,212,P42704|LPPRC_HUMAN,448.22,48,29,32,35,39,40,41,7.0298E4,8.7841E4,1.0763E5,1.8362E5,1.6923E5,1.7014E5,58,58,98,127,148,161,180,176,Carbamidomethylation; Deamidation (NQ),157904,Leucine-rich PPR motif-containing protein  mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3
67,80,P25705|ATPA_HUMAN,448.07,64,63,62,63,64,59,59,7.6771E5,1.0198E6,9.5046E5,9.9208E5,1.0564E6,9.9036E5,33,33,219,284,239,248,265,279,Carbamidomethylation; Oxidation (M); Deamidation (NQ),59751,ATP synthase subunit alpha  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1
124,162,Q15075|EEA1_HUMAN,446.24,55,47,41,42,46,43,46,1.6301E5,1.3574E5,1.2264E5,1.7943E5,1.507E5,1.4739E5,66,66,168,148,152,175,159,168,Carbamidomethylation; Deamidation (NQ),162465,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2
147,317,P46821|MAP1B_HUMAN,445.06,34,24,20,22,26,25,25,8.7592E4,9.7E4,9.9997E4,1.973E5,1.5469E5,1.5135E5,60,60,118,116,151,173,162,150,Carbamidomethylation,270632,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2
88,79,Q07065|CKAP4_HUMAN,444.78,73,60,60,68,59,64,65,6.1668E5,5.7749E5,5.5687E5,7.5168E5,7.5047E5,7.3367E5,38,38,197,173,189,228,224,220,Carbamidomethylation; Deamidation (NQ),66023,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2
92,75,P78371|TCPB_HUMAN,444.64,78,76,77,76,77,76,78,3.383E5,4.1061E5,4.1625E5,4.2739E5,4.5026E5,4.6205E5,39,39,189,218,203,201,197,194,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),57488,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4
140,127,Q86UP2|KTN1_HUMAN,444.31,49,38,32,37,43,39,41,1.2839E5,1.0862E5,9.5671E4,1.7374E5,1.5083E5,1.4643E5,63,63,146,128,138,165,159,156,Carbamidomethylation; Deamidation (NQ),156275,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1
139,235,P49327|FAS_HUMAN,443.80,41,26,25,33,24,28,28,7.4872E4,1.0797E5,1.6506E5,8.1199E4,1.3723E5,1.2708E5,62,62,128,149,197,133,149,143,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),273424,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3
83,10,P50395|GDIB_HUMAN,442.13,85,83,83,85,80,80,80,2.9802E5,3.4276E5,3.6074E5,2.4851E5,2.7911E5,2.8001E5,37,28,220,241,263,173,207,188,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),50663,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2
82,58,Q14764|MVP_HUMAN,441.50,67,58,67,67,56,49,52,3.5734E5,4.8784E5,4.8341E5,2.6557E5,2.6724E5,2.7115E5,46,46,229,256,253,191,164,199,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),99327,Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4
81,140,Q14697|GANAB_HUMAN,439.75,61,56,51,61,51,60,55,5.7678E5,7.2573E5,7.8616E5,4.0466E5,4.3985E5,4.4568E5,41,41,225,255,265,167,201,194,Carbamidomethylation; Deamidation (NQ),106874,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3
56,50,P21980|TGM2_HUMAN,438.57,81,73,75,78,66,64,75,8.7799E5,1.0273E6,1.1463E6,1.1581E6,1.265E6,1.2194E6,46,46,288,310,310,293,314,300,Carbamidomethylation; Oxidation (M); Deamidation (NQ),77329,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2
32,5,Q71U36|TBA1A_HUMAN,438.46,92,82,87,89,85,89,89,8.5604E4,1.2365E5,1.5125E5,4.8652E4,7.776E4,8.3936E4,36,1,372,388,394,411,408,389,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50136,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1
110,133,Q9Y4L1|HYOU1_HUMAN,438.43,50,48,48,48,50,47,49,2.3036E5,3.1472E5,2.6685E5,3.6245E5,2.991E5,2.9252E5,41,41,178,180,177,184,167,172,Carbamidomethylation; Oxidation (M); Deamidation (NQ),111335,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1
99,59,P08133|ANXA6_HUMAN,438.26,73,57,63,72,70,69,70,3.504E5,4.0337E5,4.1924E5,5.6375E5,5.4718E5,5.4164E5,48,48,158,174,182,200,221,210,Carbamidomethylation; Deamidation (NQ),75873,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3
62,513,P22626|ROA2_HUMAN,438.03,70,67,67,67,59,62,61,6.7237E5,7.0471E5,6.828E5,9.9695E5,1.04E6,1.0842E6,30,27,264,246,243,257,316,314,Carbamidomethylation; Oxidation (M); Deamidation (NQ),37430,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2
134,322,P02751|FINC_HUMAN,437.79,30,16,15,16,27,29,29,6.8911E4,6.0857E4,5.7611E4,2.6953E5,2.2714E5,2.5566E5,53,53,93,89,89,204,221,228,Carbamidomethylation; Deamidation (NQ),272318,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5
22,34,P68371|TBB4B_HUMAN,437.43,84,81,81,72,84,74,83,6.9453E4,7.2018E4,7.9972E4,4.0809E4,4.323E4,5.5118E4,31,2,421,429,442,431,442,424,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49831,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1
69,354,P04083|ANXA1_HUMAN,436.53,73,71,67,67,71,70,67,1.5491E6,1.6476E6,1.512E6,1.6644E6,1.7095E6,1.6744E6,28,28,265,252,255,257,253,232,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),38714,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2
103,167,Q01813|PFKAP_HUMAN,435.85,64,56,59,63,58,57,56,3.4524E5,3.8962E5,4.6449E5,3.2331E5,2.9923E5,3.5325E5,43,40,187,203,212,159,161,182,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),85596,ATP-dependent 6-phosphofructokinase  platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2
122,193,P35527|K1C9_HUMAN,435.46,60,60,41,47,41,46,41,7.2541E5,3.1255E5,2.9408E5,4.0123E5,9.4445E5,5.2621E5,31,31,211,135,118,151,203,163,Carbamidomethylation; Oxidation (M); Deamidation (NQ),62064,Keratin  type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3
71,18,P00558|PGK1_HUMAN,435.24,84,82,77,80,82,84,82,8.4126E5,7.7996E5,7.0782E5,8.7956E5,7.7095E5,7.9529E5,33,33,279,256,244,243,234,242,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),44615,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
130,150,P53621|COPA_HUMAN,434.80,53,35,46,52,36,36,45,9.8964E4,1.4309E5,1.9849E5,7.0647E4,1.0303E5,1.1036E5,47,47,140,164,227,106,150,154,Carbamidomethylation; Deamidation (NQ),138345,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2
74,88,P35241|RADI_HUMAN,434.55,68,60,62,57,66,64,62,1.1758E5,9.6422E4,7.9107E4,2.1741E5,2.1884E5,1.9604E5,50,31,229,207,175,270,270,235,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68564,Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1
